ref	value	Champ1	Champ2	Champ3	Champ4	Champ5	Champ6	Champ7	Champ8
C1	22p								
C2	22p								
C3	10n								
C4	10n								
C5	10n								
C6	10n								
C7	10n								
C8	10n								
D1	vert								
D2	vert								
J1	RJ12								
K1	CONN_2								
K2	CONN_2								
K3	CONN_2								
K4	CONN_3								
K5	CONN_3								
K6	CONN_3								
K7	CONN_3								
K8	CONN_3								
K9	CONN_3								
K10	CONN_2								
P1	CONN_16								
P2	CAVALIER2								
P3	CONN_4								
P4	~								
P5	CONN_4								
P6	~								
R1	8 x 10k								
R2	~								
R3	~								
R4	~								
R5	~								
R6	~								
R7	~								
R8	~								
R9	330								
R10	330								
R11	8 x 10k								
R12	~								
R13	~								
R14	~								
R15	~								
R16	~								
R17	~								
R18	~								
R19	10k								
R20	10k								
R21	100								
R22	2.1k								
R23	2.1k								
RVAR1	10k								
SW1	SWITCH_X_8								
SW2	SW_PUSH_SMALL								
SW3	SWITCH_X_8								
U1	PCF8574T								
U2	PCF8574T								
U3	DSPIC30F4013								
X1	7.3728								
