ref	value	footprint	Champ1	Champ2	Champ3	Champ4	Champ5	Champ6
C1	22p							
C2	22p							
C3	100n							
C4	100n							
C5	100n							
C6	100n							
C7	100n							
C8	100n							
C9	100n							
C10	100n							
C11	C							
C12	C							
C13	C							
C14	C							
C15	C							
C16	C							
C17	C							
C18	33u							
C19	4700u							
D1	Vert							
D2	LED							
D3	LED							
D4	LED							
D5	LED							
D6	LED							
D7	LED							
J1	RJ12							
K1	CONN_2							
K2	CONN_3							
K3	CONN_3							
P1	CAVALIER							
P2	CONN_4							
P3	CAVALIER							
P4	CONN_6							
Q1	MOS_N							
Q2	MOS_N							
Q3	MOS_N							
Q4	MOS_N							
Q5	MOS_N							
Q6	MOS_N							
Q7	MOS_N							
Q8	MOS_N							
R1	10k							
R2	15							
R3	3.3k							
R4	3.3k							
R5	47							
R6	47							
R7	270k							
R8	47							
R9	47							
R10	270k							
R11	0.1							
R12	47							
R13	47							
R14	270k							
R15	47							
R16	47							
R17	270k							
R18	0.1							
R19	330							
R20	R							
R21	R							
R22	R							
R23	R							
R24	R							
R25	R							
R26	R							
R27	R							
R28	R							
R29	R							
R30	R							
R31	R							
U1	DSPIC30F4013							
U2	HCTL-2032							
U3	74HC02							
U4	L6384							
U5	L6384							
U6	74HC02							
U7	L6384							
U8	L6384							
X1	7.3728Mhz							
